symbol,ts_signal,ts_entry,entry_price,entry_atr,ret_1,ret_3,ret_6,ret_12,ret_18,ret_24,atr_12,atr_pct_12,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_18,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,fixed_R,fixed_exit_price,fixed_exit_reason,side,split
NVDA,2024-03-06 20:45:00,2024-03-06 20:50:00,884.84,3.899249999999995,0.003671730923236972,0.0071202922167197405,-4.5190080784932054e-05,-0.0035637393785965857,-0.007095192474104065,-0.0028542599152935853,3.748424999999988,0.004234886400867656,884.7737294216457,0.00040250650001047265,0.09504540663192429,1.5287469504779736,0.004586783862257488,0.0037960525572514926,0.00029362918441360706,0.0004971021205923885,0.002823280514390424,-0.2393156642875578,0.970941817426052,S0.75_T2.0_H3,2.6666666666666665,TARGET,892.6385,2024-03-07 09:30:00-05:00,0.75,2.0,3,1.3333333333333528,888.7392500000001,TARGET,LONG,train
TSLA,2024-03-07 14:30:00,2024-03-07 14:35:00,178.1071,1.0584666666666702,0.009361146575760622,0.006956108987263646,0.008568259860381651,0.0021368796159136456,0.008115463837250453,0.00738010729762268,0.9101333333333367,0.005108516689118415,176.71666666666667,0.008101332135907769,1.585848227365942,4.814253548269078,0.025763358778625973,0.02127301302200265,0.0007296811854512542,0.0037606645711720696,0.0035311910382199376,0.0,1.0,S0.5_T1.5_H3,3.0000000000000133,TARGET,179.69480000000001,2024-03-07 09:35:00-05:00,0.5,1.5,3,1.3333333333333393,179.16556666666668,TARGET,LONG,train
PLTR,2024-03-08 14:30:00,2024-03-08 14:35:00,27.105,0.18200000000000038,0.023857448638607337,0.023989682541683433,0.017680869797663985,0.01109451262974927,0.0042178012073668366,0.012210390491614749,0.15533333333333368,0.005729933245048108,27.09136666666667,0.0006541468854861382,0.11416309012874826,3.6800606394956623,0.01346411352645429,0.002984237765178473,0.002766598669819333,0.007713277091456483,0.007420862898008411,0.0,1.0,S1.0_T0.75_H3,-0.9999999999999902,STOP,26.923000000000002,2024-03-08 09:35:00-05:00,1.0,0.75,3,-1.0000000000000098,26.9685,STOP,LONG,train
TSLA,2024-03-08 14:40:00,2024-03-08 14:45:00,180.79,1.0061333333333284,0.007941586813892577,0.01244395203911308,0.007639473523571035,0.007806683623450566,0.005714114262536569,0.01080560175064325,0.9419666666666657,0.005209819733120945,180.51985657636072,0.0015825991595372283,0.3037723454184031,1.9589631176285918,0.008130261163899422,0.0077762906098249275,0.0003539705540744939,0.0,0.004341873195341452,0.1604112808577602,0.9870502626379128,S0.5_T0.75_H3,-0.9999999999999812,STOP,180.28693333333334,2024-03-08 09:45:00-05:00,0.5,0.75,3,-1.0000000000000189,180.03539999999998,STOP,LONG,train
PLTR,2024-03-08 14:45:00,2024-03-08 14:50:00,27.12,0.23582500000000048,0.008613158133327919,3.319863295694429e-05,0.024022881174640628,0.013929095109879351,0.00833415324893266,0.009636842555700343,0.22158333333333355,0.008173490716832665,27.00048849433979,0.004039524369612995,0.4942226656346364,1.5427135946937467,0.012357063814090774,0.008483954260420526,0.0029509406123202453,0.000922168941350003,0.008735341085715618,0.23931566428755777,0.970941817426052,S1.0_T0.75_H3,0.4995229513410316,TIME,27.2378,2024-03-08 10:00:00-05:00,1.0,0.75,3,-1.0000000000000013,26.94313125,STOP,LONG,train
NVDA,2024-03-08 14:45:00,2024-03-08 14:50:00,956.91,6.309133333333317,0.005867931148318101,-0.0016190583343688445,0.03618012428665209,0.03769017093808947,0.034324979845577544,0.03461823831172989,6.104608333333317,0.00638216818968594,954.3944806259229,0.002211810804796549,0.34656103365796603,1.5595046699670627,0.008938745131912307,0.005676991805941124,0.0010871814108392465,0.0021745719151319374,0.009843472509394149,0.23931566428755777,0.970941817426052,S0.75_T2.0_H12,2.6666666666666625,TARGET,969.5282666666666,2024-03-08 10:25:00-05:00,0.75,2.0,12,1.3333333333333313,963.2191333333333,TARGET,LONG,train
COIN,2024-03-08 19:40:00,2024-03-08 19:45:00,257.81,1.454399999999995,0.007320904971356204,0.015444171459432604,0.01068777970181891,0.027908542879474967,0.012165341346827584,0.004783674654593379,1.5630416666666658,0.0060644124569980045,256.7318845926782,0.003911365745797244,0.6449702709919968,1.805014078536314,0.008244742764025762,0.007876154263986967,0.0002715915263443516,9.699697369444279e-05,0.003391047771456431,-0.9605181116313725,0.2782174639164521,S0.5_T0.75_H3,-0.9999999999999788,STOP,257.0828,2024-03-08 14:45:00-05:00,0.5,0.75,3,-1.0000000000000049,256.7192,STOP,LONG,train
COIN,2024-03-08 20:55:00,2024-03-11 13:30:00,270.01,2.61833333333333,0.002222699739393168,0.005977397517163141,0.0051156999196819005,-0.002955935410440475,0.011517795586985296,0.011666748718645772,1.512083333333332,0.005889780443786592,256.69252615966747,0.00014596595774764266,0.024782920032550455,2.7171011530824343,0.003116114205585679,0.002142328516340168,0.00038951427569807145,0.0005842714135474393,0.004094513333598406,-0.08046656871672576,0.99675730813421,S0.5_T0.75_H3,-1.0000000000000036,STOP,268.7008333333333,2024-03-11 09:30:00-04:00,0.5,0.75,3,-1.0000000000000036,268.04625,STOP,LONG,train
PLTR,2024-03-11 13:30:00,2024-03-11 13:35:00,26.46,0.17798333333333302,0.016422231861137795,0.013162088979349918,0.012396538702726667,0.006106813972490515,0.009912540100560644,0.012779240582636771,0.15297499999999994,0.0057811496164166115,26.260666666666665,0.007570890492926686,1.3095821757367747,3.9460483208277064,0.026416235214088722,0.02157892747817535,0.0018517818676543987,0.002985525868258971,0.005524674127868393,0.0,1.0,S0.5_T2.0_H3,4.000000000000013,TARGET,26.815966666666668,2024-03-11 09:35:00-04:00,0.5,2.0,3,1.3333333333333377,26.637983333333334,TARGET,LONG,train
TSLA,2024-03-11 13:30:00,2024-03-11 13:35:00,177.0059,0.9097583333333338,0.009648749582354727,0.010333368504576492,0.005494052504441289,0.0037349372827594077,0.006573182860867327,0.007483876635215314,0.688091666666665,0.003886645202590742,176.45000000000005,0.0033325802078623284,0.8574438967675547,3.8579592751686653,0.01530727519204688,0.008811568007230017,0.0026547672842295463,0.003840939900587316,0.0035507483591335287,0.0,1.0,S0.5_T2.0_H3,3.999999999999979,TARGET,178.82541666666665,2024-03-11 09:35:00-04:00,0.5,2.0,3,1.3333333333333472,177.91565833333334,TARGET,LONG,train
