symbol,session_date,day_open,day_close,day_high,day_low,day_volume,bars_in_day,daily_rv,daily_ret,daily_abs_ret,daily_range_pct,daily_trend_strength,rv_3,rv_long,rv_impulse,range_3,range_long,range_ratio,trend_freq,sum_ret_3,sum_abs_ret_3,conditions_3,rel_vol,rv_impulse_z,range_ratio_z,trend_freq_z,conditions_3_z,rel_vol_z,regime_label,macro_regime_id
PLTR,2026-02-26,133.845,135.939,137.51,132.63,38482304.0,78,0.0034441003942968303,0.015644962456572875,0.015644962456572875,0.03646008442601513,0.42909836064396845,0.004512843140034021,0.004788558878938102,-0.05930201534082794,0.03947107220844731,0.05123504352734072,-0.26085562918756217,0.0,0.014267508963129227,0.04055218325033039,0.3518307598076212,-0.08157191017079737,-0.28240833606455007,-0.7901790454026006,-1.2671051305832168,-1.1967003409828387,-0.4098911752256581,Range Bound,3
PLTR,2026-02-27,134.05,135.67,138.1,134.05,23546487.0,29,0.005052652422881641,0.012085042894442122,0.012085042894442122,0.0302126072361058,0.39999999998675395,0.0037349654228103026,0.004357183836446248,-0.1540869963326722,0.039788172831776776,0.041902479162529586,-0.051775277955512164,0.0,0.04115565736761251,0.044953959758992856,0.9155066301876373,-0.2091909034372896,-0.5765941777643689,-0.04210444851504131,-1.1496690899852828,0.6732026213017351,-0.6817411691757997,Range Bound,3
TSLA,2024-04-11,172.59,174.59,175.88,168.51,89051437.0,78,0.002818644164498728,0.011588156903644453,0.011588156903644453,0.042702358189929915,0.27137042061779637,0.003292913717346651,0.0035301145772980583,-0.06955732330949743,0.0367566753487229,0.0378872179723094,-0.030293939113068595,0.0,0.03780937613328372,0.05248636677236862,0.7203655207000003,-0.11470587519082186,-0.7520259907752069,-0.17462028783515424,-0.7152191264355617,0.5735595197486968,-0.8091516782037009,Range Bound,3
TSLA,2024-04-12,172.32,171.06,173.8099,170.3644,57731271.0,78,0.002235480299874484,-0.007311977715877438,0.007311977715877438,0.01999477715877443,0.3656943839608127,0.002737698508766829,0.003595254237418421,-0.2724962300119729,0.03778343326519691,0.03889963999933944,-0.02911425532321863,0.0,0.02790358559081063,0.04258057622989553,0.6553123867331756,-0.041292631462864424,-2.0740357117869537,-0.12205143039013781,-0.6380774288322114,0.34182901424079176,-0.4175398464797347,Range Bound,3
TSLA,2024-04-15,170.24,161.46,170.69,161.38,89028418.0,78,0.0027140647291942223,-0.05157424812030076,0.05157424812030076,0.054687500000000014,0.9430719656111117,0.0026734530881170585,0.003619552208515121,-0.3029784129153628,0.03037552726115565,0.03849212786177834,-0.23681641994302308,0.0,-0.0030623161317754333,0.02623862993906434,0.1167101701493387,-0.47470779295683674,-1.9938938576724463,-1.5534875438818325,-0.6380774288322114,-1.305219930419264,-2.45153524960583,Flat,0
TSLA,2024-04-16,156.77,157.09,158.19,153.75,89530654.0,78,0.005122916871131676,0.0020412068635580205,0.0020412068635580205,0.028321745231868325,0.0720720720695253,0.002589396397855811,0.0036807343291312966,-0.3516863356529222,0.039128211782901455,0.04024897593771908,-0.028240818094324202,0.3333333333333333,-0.04729806893253374,0.07047438273982265,0.6711383680473665,-0.04155115593356549,-2.0198595167148574,-0.0010331279677424658,1.4888473339418262,0.46854103469504677,-0.20654257033918486,Trending,1
TSLA,2024-04-17,157.66,155.425,158.33,153.78,77244216.0,78,0.002779785594210473,-0.014176075098312757,0.014176075098312757,0.028859571229227523,0.491208791191767,0.003357487300066794,0.0034499570381343824,-0.02716883156862289,0.03433467413021426,0.04049541449732474,-0.16503294996953666,0.3333333333333333,-0.056845018972620176,0.06092743269973622,0.9329953212178111,0.0026798609348721828,-0.10883660377020339,-0.9039386727050808,1.3282640919517579,1.325192775660281,-0.03456307532500097,Trending,1
TSLA,2024-04-18,151.25,149.83,152.2,148.7,87470496.0,78,0.0038334293052813264,-0.009388429752065997,0.009388429752065997,0.023140495867768594,0.40571428569674794,0.00353892239817879,0.0035059389254949516,0.009363880574708435,0.03728960548703195,0.04000373474669549,-0.07025818568492057,0.3333333333333333,-0.0637091163550555,0.06779153008217154,0.9397797465263712,-0.1449291693102759,0.10889298558200206,-0.18975294348341346,1.1937335673813367,1.2205008196268496,-0.6547765930523604,Trending,1
TSLA,2024-04-19,148.97,147.01,150.94,146.22,78420987.0,78,0.0023316039419035085,-0.013157011478821312,0.013157011478821312,0.03168423172450828,0.415254237275032,0.003912043923541158,0.003637269676893268,0.072826475476929,0.026773937442954813,0.03691937210177579,-0.3213073689827379,0.0,-0.021523297986820733,0.025605711713936774,0.8405659573776416,-0.017783344794875852,0.46527870599993393,-1.8972481905865375,-0.8816306686497095,0.8347076471582283,-0.1328459365452125,Range Bound,3
TSLA,2024-04-22,140.57,142.03,144.44,138.8025,98075394.0,78,0.006790063272997781,0.010386284413459457,0.010386284413459457,0.0401045742334779,0.25898004433944016,0.0029816062804651025,0.0031714666058134376,-0.06173175620581517,0.0278947662738348,0.033966070544824575,-0.19692295464749954,0.0,-0.036721516329200066,0.036721516329200066,0.9999997276801647,-0.11807595996000995,-0.21973178088247225,-0.9036044494161687,-0.8816306686497095,1.2778922168852058,-0.5770639540992759,Range Bound,3
