ts_signal,ts_entry,entry_price,ret_1,ret_3,ret_6,atr_14,atr_pct_14,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_20,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,symbol,side,split,ts_ny,regime_id,regime_pmax
2025-10-10 13:40:00,2025-10-10 13:45:00+00:00,440.0,0.0008524764911346,0.0101314980363081,0.0112914477203917,1.654278571428571,0.0037600231187221,439.5902909146223,0.0008516793048939,0.2265090607164727,1.97725221144704,0.0062275408271111,0.0007498323730295,0.0003293443796665,0.005148364074415,0.0031920198856173,0.1604112808577602,0.9870502626379128,S1.0_T0.75_H6,-0.9999999999999916,STOP,438.1114357142857,2025-10-10 09:45:00-04:00,1.0,0.75,6,TSLA,LONG,test,2025-10-10 13:45:00+00:00,4,0.9717051500249838
2025-10-13 13:35:00,2025-10-13 13:40:00+00:00,423.52,0.0049384137040313,0.0245289649025272,0.0278126421755697,3.034164285714285,0.0071629945969163,422.9260287110893,0.0015646572546551,0.218436190825656,1.606709715002648,0.0115439784999037,0.004742335019245,0.0023633769353675,0.004438266545291,0.0066441772354866,0.0804665687167258,0.99675730813421,S0.75_T0.75_H6,0.2149794617835579,TIME,424.03,2025-10-13 10:05:00-04:00,0.75,0.75,6,TSLA,LONG,test,2025-10-13 13:40:00+00:00,4,0.9999708085638139
2025-10-15 19:55:00,2025-10-16 13:30:00+00:00,434.73,0.0052066652204633,0.0019781035063576,0.0007769740242515,1.293164285714283,0.0029714935676699,434.1150558218503,0.0024700571661795,0.8312510560527347,3.040105869411509,0.0059054665778165,0.0053310048484569,0.0005514832601852,2.2978469174362703e-05,0.0025804351040119,-0.0804665687167257,0.99675730813421,S0.5_T0.75_H6,-0.9999999999999972,STOP,433.9852,2025-10-16 09:30:00-04:00,0.5,0.75,6,TSLA,LONG,test,2025-10-16 13:30:00+00:00,4,0.9999999980393541
2025-10-16 13:50:00,2025-10-16 13:55:00+00:00,434.82,0.0049970558380719,-0.0031687014182836,0.0043561002331488,2.011028571428564,0.0046249679670405,434.5982386240764,0.000510007303996,0.1102726132657736,1.783060080431283,0.0078193275378316,0.0050749735522745,0.000758934731613,0.0019854192539441,0.0033424475078908,0.3166679938014725,0.9485364419471456,S0.5_T2.0_H12,4.000000000000023,TARGET,438.9890142857143,2025-10-16 10:40:00-04:00,0.5,2.0,12,TSLA,LONG,test,2025-10-16 13:55:00+00:00,1,0.9999410224616172
2025-10-17 13:45:00,2025-10-17 13:50:00+00:00,428.0,0.0032886874317492,-0.0011780170880903,0.0007141651030064,2.2934785714285675,0.0053595339637286,427.6333892018979,0.0006814530539279,0.1271478189222729,1.514543198597502,0.00719752293042,0.0033767599462522,0.0028392825845649,0.0009814803996027,0.0023487485606973,0.2393156642875577,0.970941817426052,S0.5_T2.0_H6,4.00000000000002,TARGET,432.9791285714286,2025-10-17 09:50:00-04:00,0.5,2.0,6,TSLA,LONG,test,2025-10-17 13:50:00+00:00,1,0.915142431248803
2025-10-20 13:35:00,2025-10-20 13:40:00+00:00,443.6108,0.0027551193816854,0.0102668444835714,0.0108365282105817,2.0187857142857126,0.00455199205016,443.36937023135096,0.0002832721195256,0.0622303634110561,1.8444122326525545,0.0083358324220114,0.0028072469813639,0.0052649973505901,0.0002635880900573,0.0030723977915445,0.0804665687167258,0.99675730813421,S0.5_T2.0_H6,4.000000000000007,TARGET,447.8698,2025-10-20 09:50:00-04:00,0.5,2.0,6,TSLA,LONG,test,2025-10-20 13:40:00+00:00,4,0.8618804561821026
2025-10-20 16:00:00,2025-10-20 16:05:00+00:00,446.34,0.0049606582730052,0.0053630717232332,0.0066055622592991,1.500099999999995,0.0033606739539143,444.9815363162414,0.0031078867603619,0.9247808037855152,2.0853681988013086,0.0061039212418072,0.0048923670292368,0.0009660173381293,0.000245536874441,0.0021409376480447,0.6631226582407952,-0.7485107481711012,S1.0_T0.75_H6,-0.9999999999999842,STOP,444.7899071428572,2025-10-20 12:10:00-04:00,1.0,0.75,6,TSLA,LONG,test,2025-10-20 16:05:00+00:00,3,0.7277464187471614
2025-10-21 13:35:00,2025-10-21 13:40:00+00:00,446.5733,0.0042746375275863,-0.0024935019768298,-0.0014503421540991,1.2033642857142903,0.0026944711450035,445.74224926783546,0.0019317981934025,0.716948925945934,2.070763535870139,0.006829301060221,0.0041535585136754,0.0019816168650149,0.0006941256815306,0.0024839715861034,0.0804665687167258,0.99675730813421,S0.5_T0.75_H6,-0.9999999999999838,STOP,445.8191178571429,2025-10-21 09:40:00-04:00,0.5,0.75,6,TSLA,LONG,test,2025-10-21 13:40:00+00:00,4,0.9999998763395942
2025-10-22 13:35:00,2025-10-22 13:40:00+00:00,443.255,0.000374121028679,-0.0063082469132679,-0.0045131560035533,1.2337571428571397,0.002783402652778,443.0998498757186,0.0003500245327889,0.1257541852378383,1.9771051836145723,0.0050851090230229,0.0001692028290712,0.0009904005594974,0.0039255056344542,0.0024973307450589,0.0804665687167258,0.99675730813421,S1.0_T0.75_H6,-0.9999999999999885,STOP,441.8498,2025-10-22 09:40:00-04:00,1.0,0.75,6,TSLA,LONG,test,2025-10-22 13:40:00+00:00,4,0.5616328355465016
2025-10-23 13:35:00,2025-10-23 13:40:00+00:00,419.05,0.0060183124010523,-0.0446509510857846,-0.0452555356804494,3.1216785714285686,0.0074494179010346,417.12640111539,0.0045903803474765,0.6162065826430524,3.03550258899546,0.0128385634172533,0.0060930676530247,0.0005488605178378,0.0061966352463906,0.015328439487145,0.0804665687167258,0.99675730813421,S0.75_T2.0_H6,2.66666666666667,TARGET,425.5552571428572,2025-10-23 10:05:00-04:00,0.75,2.0,6,TSLA,LONG,test,2025-10-23 13:40:00+00:00,5,0.9999636592625029
