symbol,ts_signal,ts_entry,entry_price,ret_1,ret_3,ret_6,ret_12,atr_14,atr_pct_14,vwap_session,vwap_dist,vwap_dist_atr,vol_ratio_20,range_pct,body_pct,upper_wick_pct,lower_wick_pct,rv_12,tod_sin,tod_cos,best_param_id,best_R,best_exit_reason,best_exit_price,best_exit_ts,best_stop_atr,best_target_atr,best_hold_bars,side,split,session_date,macro_regime_id,regime_label
PLTR,2025-05-28 19:25:00,2025-05-28 23:30:00+00:00,124.78,0.0015798995198339,0.0031301442146839,0.0047166109910894,0.0004809233821451,0.3807285714285667,0.0030509541744415,124.67601404808538,0.0009134221645534,0.2993890148221114,1.836049216977602,0.0031252504207067,0.0015225578972675,0.0016026925234392,0.0,0.0022385566806638,-0.5344658261278014,0.8451900855437946,S0.5_T0.75_H3,-1.0,STOP,124.59427857142856,2025-05-28 15:35:00-04:00,0.5,0.75,3,LONG,train,2025-05-28,2,Choppy
NVDA,2025-05-29 13:30:00,2025-05-29 17:35:00+00:00,143.18,0.0602864853535924,0.0540011095386318,0.0479425426769464,0.044244934593267,1.0435714285714277,0.0072881614318278,142.73573333333331,0.0031529820170146,0.4326169290440427,6.2831373236012125,0.0136883743798328,0.0065801971125909,0.0021147141643947,0.0049934631028472,0.0179121529636471,0.0,1.0,S0.5_T0.75_H3,-0.9999999999999832,STOP,142.6344642857143,2025-05-29 09:35:00-04:00,0.5,0.75,3,LONG,train,2025-05-29,2,Choppy
PLTR,2025-05-30 13:30:00,2025-05-30 17:35:00+00:00,125.1199,0.0225546119735937,0.0210023874880838,0.0242722173557227,0.0225546119735937,0.5910142857142832,0.0047243348178599,124.54,0.0044764188649079,0.9475236276618728,6.478200955105209,0.018705035971223,0.0130295763389288,0.0026378896882495,0.0030375699440447,0.0068121397158906,0.0,1.0,S1.0_T0.75_H3,0.7500000000000044,TARGET,125.59692678571427,2025-05-30 09:35:00-04:00,1.0,0.75,3,LONG,train,2025-05-30,1,Trending
TSLA,2025-05-30 13:40:00,2025-05-30 17:45:00+00:00,356.2976,0.005365946079548,-0.0057506402311749,-0.0035295807159408,-0.0036559762754864,1.532821428571432,0.0043017510098124,355.7781759012756,0.0015346217602593,0.3567435113652128,1.5729642589015884,0.007184171753315,0.0053181786290604,0.0005472532098505,0.0013187399144039,0.0033117369200294,0.1604112808577602,0.9870502626379128,S0.75_T2.0_H12,2.6666666666666528,TARGET,359.50181428571426,2025-05-30 10:15:00-04:00,0.75,2.0,12,LONG,train,2025-05-30,3,Range Bound
PLTR,2025-05-30 14:05:00,2025-05-30 18:10:00+00:00,125.191,0.0090108988500144,0.0092220987321406,0.0031906630647161,0.0223063581091778,0.9341571428571426,0.00746196271609,124.38669810781342,0.00641031248851,0.8590651993861674,1.9027576428631077,0.0101390535285791,0.0088809577823007,0.0011191061209753,0.0001389896253031,0.0084683199570821,0.534465826127801,0.8451900855437948,S0.5_T2.0_H3,3.999999999999988,TARGET,127.24217142857142,2025-05-30 10:15:00-04:00,0.5,2.0,3,LONG,train,2025-05-30,1,Trending
COIN,2025-05-30 19:45:00,2025-05-30 23:50:00+00:00,246.59,0.0007911473062291,0.0006653333200122,-0.0003446632977848,0.0020095205227778,0.6706571428571441,0.0027198910792138,246.5169844338974,0.0002352856782017,0.0865055516376641,2.133564888290543,0.0042583392476934,0.0008719456554799,0.0011558349386597,0.0022305586535537,0.0013039432889706,-0.2393156642875578,0.970941817426052,S1.0_T2.0_H3,2.0000000000000164,TARGET,248.09128571428573,2025-06-02 09:30:00-04:00,1.0,2.0,3,LONG,train,2025-05-30,0,Flat
OKLO,2025-05-30 19:45:00,2025-05-30 23:50:00+00:00,52.32,0.0078642392457722,0.0113364649565214,0.0154997086132438,0.0178815085996222,0.283885714285715,0.005423876849173,52.25693884723047,0.0015869536257075,0.2925865888620753,2.4792287950908984,0.0106992739778372,0.0076423385555981,0.0017195261750094,0.0013374092472296,0.0028957117711526,-0.2393156642875578,0.970941817426052,S0.5_T2.0_H3,3.999999999999993,TARGET,52.91994285714286,2025-05-30 15:55:00-04:00,0.5,2.0,3,LONG,train,2025-05-30,3,Range Bound
TSLA,2025-06-02 13:30:00,2025-06-02 17:35:00+00:00,346.465,0.002137925871382,-0.0149181829235504,-0.0127857340953141,-0.0138146704189587,1.861464285714281,0.0053721913007627,345.3879,0.0032095238095238,0.5974328965292306,2.5720210383262825,0.0150178932178931,0.0086580086580086,0.0026946608946608,0.0036652236652236,0.0041003702889378,0.0,1.0,S0.5_T0.75_H3,1.500000000000007,TARGET,347.9060982142857,2025-06-02 09:35:00-04:00,0.5,0.75,3,LONG,train,2025-06-02,1,Trending
NVDA,2025-06-02 13:30:00,2025-06-02 17:35:00+00:00,137.09,0.0165487540819489,0.0138085190771422,0.0147697086286729,0.0168068710459683,0.6135499999999955,0.0044755270260412,136.59333333333333,0.003622924113113,0.8094966452068671,2.8325516277224065,0.0137865635713763,0.0110146619009409,0.0014588956160185,0.0013130060544168,0.0049859182969693,0.0,1.0,S0.75_T0.75_H3,0.9999999999999888,TARGET,137.58468392857142,2025-06-02 09:35:00-04:00,0.75,0.75,3,LONG,train,2025-06-02,3,Range Bound
COIN,2025-06-02 13:35:00,2025-06-02 17:40:00+00:00,248.9,0.0077502731202732,0.0125951554446249,0.0110316874767248,0.0115187400068497,1.0378357142857195,0.0041651093766545,247.8601508065427,0.0052716205340182,1.2656619688226307,2.0899149179835463,0.0123207224518479,0.0074995876370579,0.0027543035240076,0.0020668312907823,0.0026504150606973,0.0804665687167258,0.99675730813421,S0.75_T0.75_H3,-0.9999999999999882,STOP,247.94304285714287,2025-06-02 09:40:00-04:00,0.75,0.75,3,LONG,train,2025-06-02,0,Flat
